brand,item,vitola,price,inventory,icon
Acid,Acid 1400cc,Toro,$14.05,7,/img/acid.svg
Acid,Acid 20 Connecticut Toro,Toro,$12.55,0,/img/acid.svg
Acid,Acid 20 Maduro Robusto,Robusto,$12.25,0,/img/acid.svg
Acid,Acid 20 Maduro Toro,Toro,$12.55,0,/img/acid.svg
Acid,Acid Blondie Belicoso,Belicoso,$11.25,19,/img/acid.svg
Acid,Acid Blondie Gold,Cigarillo,$7.30,0,/img/acid.svg
Acid,Acid Blondie Maduro,Cigarillo,$7.30,0,/img/acid.svg
Acid,Acid Blondie Red,Cigarillo,$7.30,0,/img/acid.svg
Acid,Acid C Notes,Cigarillo,$11.05,6,/img/acid.svg
Acid,Acid Krush Tin Blue CT,Cigarillo,$22.00,0,/img/acid.svg
Acid,Acid Krush Tin Candela,Cigarillo,$22.00,0,/img/acid.svg
Acid,Acid Krush Tin Gold Sumatra,Cigarillo,$22.00,0,/img/acid.svg
Acid,Acid Krush Tin Maduro,Cigarillo,$22.00,0,/img/acid.svg
Acid,Acid Krush Tin Red Cameroon,Cigarillo,$22.00,0,/img/acid.svg
Acid,Acid Kuba Deluxe,Toro,$15.05,0,/img/acid.svg
Acid,Acid Kuba Grande,Gordo,$15.65,0,/img/acid.svg
Acid,Acid Kuba Kuba,Robusto,$12.05,23,/img/acid.svg
Acid,Acid Kuba Maduro,Robusto,$12.05,13,/img/acid.svg
Aging Room,Aging Room Quattro Nicaragua Espressivo,Robusto,$13.55,52,/img/agingroom.svg
Aging Room,Aging Room Quattro Nicaragua Vibrato,Toro,$13.75,0,/img/agingroom.svg
Aladino,Aladino 85 Aniversario Robusto,Robusto,$17.55,0,/img/placeholder.svg
Aladino,Aladino Cameroon Robusto,Robusto,$11.15,0,/img/placeholder.svg
Aladino,Aladino Cameroon Super Toro,Toro,$11.75,0,/img/placeholder.svg
Aladino,Aladino Classic Robusto,Robusto,$9.25,0,/img/placeholder.svg
Aladino,Aladino Classic Toro,Toro,$10.15,0,/img/placeholder.svg
Aladino,Aladino Connecticut Gordo,Gordo,$10.55,0,/img/placeholder.svg
Aladino,Aladino Connecticut Queens Perfecto,Perfecto,$7.65,0,/img/placeholder.svg
Aladino,Aladino Connecticut Toro,Toro,$10.75,0,/img/placeholder.svg
Aladino,Aladino Corojo Reserva Figurado,Figurado,$16.85,0,/img/placeholder.svg
Aladino,Aladino Corojo Reserva No.4,Corona,$10.55,0,/img/placeholder.svg
Aladino,Aladino Corojo Reserva Robusto,Robusto,$14.15,0,/img/placeholder.svg
Aladino,Aladino Corojo Reserva Toro,Toro,$16.25,0,/img/placeholder.svg
Aladino,Aladino Rothschild Sampler,Rothschild,$24.00,0,/img/placeholder.svg
Aladino,Aladino Sumatra Toro,Toro,$16.85,0,/img/placeholder.svg
Aladino,Aladino Vintage Selection Elegante,Lancero,$9.95,0,/img/placeholder.svg
Aladino,Aladino Vintage Selection Rothschild,Rothschild,$7.15,0,/img/placeholder.svg
Aladino,Aladino Vintage Selection Toro,Toro,$10.25,0,/img/placeholder.svg
Alec Bradley,AB Double Broadleaf Toro,Toro,$12.05,0,/img/placeholder.svg
Alec Bradley,AB Filthy Hooligan Toro,Toro,$13.95,0,/img/placeholder.svg
Alec Bradley,AB Lineage Gordo,Gordo,$10.85,0,/img/placeholder.svg
Alec Bradley,AB Prensado Lost Art Gran Toro,Toro,$11.85,0,/img/placeholder.svg
Alec Bradley,AB Trilogy Authentic Corojo,Figurado,$15.75,0,/img/placeholder.svg
Alec Bradley,AB Trilogy Exotic Maduro,Figurado,$15.75,8,/img/placeholder.svg
Alec Bradley,AB Trilogy Native Cameroon,Figurado,$15.75,0,/img/placeholder.svg
Arturo Fuente,AF Anejo Reserva #888 Maduro Lonsdale,Lonsdale,$14.55,0,/img/arturofuente.svg
Arturo Fuente,AF Best Seller Natural,Figurado,$10.75,0,/img/arturofuente.svg
Arturo Fuente,AF Canones Natural,Gigante,$14.55,0,/img/arturofuente.svg
Arturo Fuente,AF Casa Fuente 808 Maduro,Toro,$21.95,0,/img/arturofuente.svg
Arturo Fuente,AF Casa Fuente RSL Robusto,Robusto,$24.99,0,/img/arturofuente.svg
Arturo Fuente,AF Chateau Fuente King T,Churchill,$16.55,0,/img/arturofuente.svg
Arturo Fuente,AF Chateau Maduro,Robusto,$9.75,0,/img/arturofuente.svg
Arturo Fuente,AF Chateau Natural,Robusto,$9.75,0,/img/arturofuente.svg
Arturo Fuente,AF Chateau Sun Grown,Robusto,$9.75,0,/img/arturofuente.svg
Arturo Fuente,AF Churchill Maduro,Churchill,$11.05,0,/img/arturofuente.svg
Arturo Fuente,AF Churchill Natural,Churchill,$11.05,0,/img/arturofuente.svg
Arturo Fuente,AF Cubanitos Maduro Red Tin,Cigarillo,$32.00,24,/img/arturofuente.svg
Arturo Fuente,AF Curly Head Deluxe Maduro,Lonsdale,$5.15,0,/img/arturofuente.svg
Arturo Fuente,AF Curly Head Deluxe Natural,Lonsdale,$5.15,0,/img/arturofuente.svg
Arturo Fuente,AF Curly Head Natural,Lonsdale,$4.55,0,/img/arturofuente.svg
Arturo Fuente,AF Don Carlos #2 Torpedo,Torpedo,$19.55,0,/img/arturofuente.svg
Arturo Fuente,AF Don Carlos Eye Of The Shark,Belicoso,$40.00,0,/img/arturofuente.svg
Arturo Fuente,AF Don Carlos Personal Reserve,Robusto,$35.00,0,/img/arturofuente.svg
Arturo Fuente,AF Don Carlos Robusto,Robusto,$14.85,0,/img/arturofuente.svg
Arturo Fuente,AF Double Chateau Maduro,Churchill,$11.65,0,/img/arturofuente.svg
Arturo Fuente,AF Double Chateau Natural,Churchill,$11.65,0,/img/arturofuente.svg
Arturo Fuente,AF Double Chateau Sungrown,Churchill,$11.65,0,/img/arturofuente.svg
Arturo Fuente,AF Flor Fina 8-5-8 Maduro,Corona Grande,$9.95,0,/img/arturofuente.svg
Arturo Fuente,AF Flor Fina 8-5-8 Natural,Corona Grande,$9.95,0,/img/arturofuente.svg
Arturo Fuente,AF Flor Fina 8-5-8 Rosado,Corona Grande,$11.85,0,/img/arturofuente.svg
Arturo Fuente,AF Hemingway Classic Natural,Presidente,$14.25,0,/img/arturofuente.svg
Arturo Fuente,AF Hemingway Signature Maduro,Presidente,$12.25,0,/img/arturofuente.svg
Arturo Fuente,AF Hemingway Signature Natural,Presidente,$13.05,0,/img/arturofuente.svg
Arturo Fuente,AF Hemingway Untold Story,Presidente,$18.15,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X 20th Anniversary Ashtray,nan,$129.95,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X Double Corona,Corona,$39.95,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X Oro Oscuro Belicoso XXX,Belicoso,$39.95,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X Oro Oscuro Robusto,Robusto,$28.95,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X Oro Oscuro Super Belicoso,Belicoso,$39.99,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X Power Ranger Belicoso X3,Belicoso,$29.95,0,/img/arturofuente.svg
Arturo Fuente,AF Opus X Super Belicoso,Belicoso,$34.99,0,/img/arturofuente.svg
Arturo Fuente,AF Oro Oscuro Robusto Tins,Robusto,$79.95,0,/img/arturofuente.svg
Arturo Fuente,AF Rosado Super 60,Gordo,$16.45,0,/img/arturofuente.svg
Arturo Fuente,AF Short Story Maduro,Perfecto,$8.75,0,/img/arturofuente.svg
Arturo Fuente,AF Short Story Natural,Perfecto,$9.15,0,/img/arturofuente.svg
Ashton,Ashton ESG 20 Year Salute,Churchill,$28.35,0,/img/placeholder.svg
Ashton,Ashton ESG 21 Year Salute,Robusto,$26.45,0,/img/placeholder.svg
Ashton,Ashton ESG 22 Year Salute,Torpedo,$29.25,0,/img/placeholder.svg
Ashton,Ashton ESG 23 Year Salute,Toro,$28.65,0,/img/placeholder.svg
Ashton,Ashton Symmetry Belicoso,Belicoso,$17.45,0,/img/placeholder.svg
Ashton,Ashton Symmetry Robusto,Robusto,$17.25,0,/img/placeholder.svg
Ashton,Ashton Symmetry Sublime,Toro,$18.05,0,/img/placeholder.svg
Ashton,Ashton VSG Robusto,Robusto,$16.25,0,/img/placeholder.svg
Ashton,Ashton VSG Spellbound,Double Corona,$20.55,0,/img/placeholder.svg
Ashton,Ashton VSG Tres Mystique Petit Corona,Petit Corona,$14.65,0,/img/placeholder.svg
Asylum,Asylum 13 60x6,Gigante,$10.45,0,/img/placeholder.svg
Asylum,Asylum 13 Connecticut 7x70,Gigante,$11.55,0,/img/placeholder.svg
Asylum,Asylum 13 Cool Brew Gordo,Gordo,$12.65,0,/img/placeholder.svg
Asylum,Asylum 13 Cool Brew Toro,Toro,$11.55,0,/img/placeholder.svg
Asylum,Asylum 867 Zero Robusto,Robusto,$10.55,0,/img/placeholder.svg
Asylum,Asylum 867 Zero Toro,Toro,$11.05,0,/img/placeholder.svg
Asylum,Asylum 9 70x7,Gigante,$26.55,0,/img/placeholder.svg
Asylum,Asylum April Fools 90x9,Gigante,$40.00,0,/img/placeholder.svg
Asylum,Asylum Insidious 50x5,Robusto,$8.55,0,/img/placeholder.svg
Asylum,Asylum Insidious 52x6,Toro,$8.75,0,/img/placeholder.svg
Asylum,Asylum Insidious 64x7,Gigante,$9.15,0,/img/placeholder.svg
Asylum,Asylum Insidious Maduro 52x6,Toro,$8.75,0,/img/placeholder.svg
Asylum,Asylum Nyctophilia 60x6,Gordo,$11.25,0,/img/placeholder.svg
Asylum,Asylum PCA 50x5,Robusto,$16.85,0,/img/placeholder.svg
Camacho,Camacho Broadleaf Toro,Toro,$10.25,0,/img/placeholder.svg
Camacho,Camacho Connecticut Gordo,Gordo,$10.55,0,/img/placeholder.svg
Camacho,Camacho Connecticut Robusto,Robusto,$9.25,0,/img/placeholder.svg
Camacho,Camacho Connecticut Toro,Toro,$9.45,0,/img/placeholder.svg
Camacho,Camacho Corojo Gordo,Gordo,$10.55,0,/img/placeholder.svg
Camacho,Camacho Corojo Robusto,Robusto,$9.25,22,/img/placeholder.svg
Camacho,Camacho Corojo Toro,Toro,$9.45,0,/img/placeholder.svg
Camacho,Camacho Coyolar Super Toro,Toro,$9.95,0,/img/placeholder.svg
Camacho,Camacho Ecuador BXP Gordo,Gordo,$10.25,0,/img/placeholder.svg
